transaction_hour,transaction_day,transaction_month,transaction_year,transaction_exact_time,transaction_amount,upi_number,account_holder_name,seller_name,transaction_category,device_type,transaction_status
6,26,7,2023,36672,2119.9882065341426,upi0@bank,User0,Seller43,Healthcare,Native App Android,Valid
19,2,9,2024,69109,687.7304108858146,upi1@bank,User1,Seller46,Food & Dining,Native App Android,Valid
14,18,8,2024,60521,1767.4177633492989,upi2@bank,User2,Seller4,Electronics,Native App Android,Valid
10,12,12,2023,34593,1857.8958327149062,upi3@bank,User3,Seller13,Groceries,Native App iOS,Valid
7,19,9,2023,13786,259.85091532653644,upi4@bank,User4,Seller38,Healthcare,Native App Android,Fraud
20,26,8,2023,9815,1590.9495367768368,upi5@bank,User5,Seller45,Electronics,Mobile Web,Valid
6,23,2,2024,21966,24.020267490135474,upi6@bank,User6,Seller25,Gaming/Entertainment,POS Terminal,Valid
18,18,7,2023,13794,1391.1432397773845,upi7@bank,User7,Seller67,Groceries,Native App Android,Valid
22,30,2,2023,31423,2391.4927263284812,upi8@bank,User8,Seller55,Travel/Transport,Native App iOS,Valid
10,17,12,2023,21302,151.24257263546875,upi9@bank,User9,Seller96,Food & Dining,Native App Android,Valid
10,30,11,2023,61064,5584.303804263323,upi10@bank,User10,Seller39,Travel/Transport,Native App iOS,Valid
23,6,2,2023,85140,1227.7684409668107,upi11@bank,User11,Seller65,P2P Transfer,Mobile Web,Valid
20,25,4,2024,27835,5574.71531605968,upi12@bank,User12,Seller75,Utilities,Native App Android,Valid
3,15,1,2024,73356,227.2299216279892,upi13@bank,User13,Seller2,Healthcare,Native App Android,Valid
7,3,5,2023,49282,5987.572114106501,upi14@bank,User14,Seller69,Groceries,Native App Android,Valid
23,6,6,2023,52714,231.2641749169084,upi15@bank,User15,Seller86,Healthcare,POS Terminal,Valid
2,3,9,2024,67035,1237.9199601947,upi16@bank,User16,Seller62,Utilities,Mobile Web,Valid
21,30,10,2023,23814,5560.985892208845,upi17@bank,User17,Seller46,Travel/Transport,Native App iOS,Valid
20,29,8,2024,24089,529.776214372721,upi18@bank,User18,Seller77,Food & Dining,Native App Android,Valid
1,1,2,2023,73162,70.80876940074425,upi19@bank,User19,Seller87,Food & Dining,Native App Android,Valid
23,30,1,2024,55831,3151.142581343058,upi20@bank,User20,Seller31,Travel/Transport,Native App Android,Valid
11,13,2,2024,32746,1812.1048338412625,upi21@bank,User21,Seller99,Travel/Transport,Native App Android,Valid
5,28,7,2023,81673,1442.7690274069646,upi22@bank,User22,Seller35,Food & Dining,Native App Android,Valid
1,21,4,2024,51940,69.89395661824997,upi23@bank,User23,Seller45,P2P Transfer,Native App Android,Valid
20,26,10,2023,36476,2118.194403887297,upi24@bank,User24,Seller77,Groceries,Native App iOS,Valid
0,14,5,2024,26283,376.57467799844574,upi25@bank,User25,Seller54,Utilities,Mobile Web,Valid
11,13,12,2023,1769,5353.00656473648,upi26@bank,User26,Seller71,Electronics,Native App Android,Valid
21,27,7,2023,42278,2314.98617676047,upi27@bank,User27,Seller69,Healthcare,Native App Android,Valid
11,4,3,2023,46994,2455.3966709452425,upi28@bank,User28,Seller29,Travel/Transport,Native App iOS,Valid
16,7,10,2024,62898,529.4427894244184,upi29@bank,User29,Seller72,Travel/Transport,Mobile Web,Valid
9,22,2,2023,15634,4253.130669387265,upi30@bank,User30,Seller8,Healthcare,Desktop Web,Valid
15,10,7,2023,10965,1543.2234085029418,upi31@bank,User31,Seller54,Food & Dining,Mobile Web,Valid
14,7,5,2023,27566,3890.9989561835832,upi32@bank,User32,Seller7,Utilities,Native App Android,Valid
